registry_id,reference_location,sergio_label,reference_formula,reference_value,canonical_operation,canonical_semantics,reference_compatibility,decision_status,current_or_next_tool_mapping,notes
battery_heatflow_rms_kw,CW4,Battery Heat Generation (EDU+I+A) RMS [kW],P2,4.554083085618828,RMS(battery heatflow),rms,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_WITH_REFERENCE_COMPATIBILITY,report_battery_heatflow_rms,Sample-mean RMS is canonical; Sergio legacy denominator 17417 gives 4.554083 kW.
battery_max_heatflow_kw,CX4,Battery Max HeatFlow (EDU+I+A) [kW],O17423,14.7541,max(battery heatflow),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,report_battery_heatflow_max,14.7541 kW.
battery_efficiency_rms_pct,CY4,Battery Efficiency RMS [%],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,No active value/formula.
battery_max_cell_temp_c,CZ4,Battery Max Cell Temp (EDU+I) [°C],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,No active value/formula.
battery_max_in_temp_c,DA4,Battery Max In Temp (EDU+I) [°C],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,No active value/formula.
battery_max_out_temp_c,DB4,Battery Max Out Temp (EDU+I) [°C],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,No active value/formula.
edu_max_speed_rpm,DC4,EDU Max Speed [RPM],V17423,3237.7,max(EDU speed RL),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,Reference points to V summary.
edu_max_torque_nm,DD4,EDU Max Torque [Nm],W17423,684.009,max(EDU torque RL),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,Reference points to W summary.
edu_max_power_kw,DE4,EDU Max Power [kW],X17423,55.68205194495644,max(EDU mech power RL),max,exact cell/formula target when status allows; Excel is numeric authority,CANONICAL_EXACT,Phase 13B/13C KPI layer,Reference points to X summary.
edu_heat_generation_rms_kw,DF4,EDU+I+GB Heat Generation RMS [kW],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,No active value/formula.
edu_max_heatflow_kw,DG4,EDU+I+GB Max Heatflow [kW],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,No active value/formula.
edu_max_in_temp_c,DH4,EDU Max In Temp [°C],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,No active value/formula.
edu_max_out_temp_c,DI4,EDU Max Out Temp [°C],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,No active value/formula.
edu_max_stator_temp_c,DJ4,EDU Max Stator Temp [°C],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,No active value/formula.
edu_max_current_a,DK4,EDU Max Current [A],,,not defined,blank,exact cell/formula target when status allows; Excel is numeric authority,UNUSED_PLACEHOLDER,Phase 13B/13C KPI layer,DK4 empty in active KPI row.
edu_max_efficiency_pct,DL4,EDU+I+GB Max. Efficiency [%],A43920,0,ignore legacy A43920 formula,broken_reference,exact cell/formula target when status allows; Excel is numeric authority,IGNORE_REFERENCE_ARTIFACT,Phase 13B/13C KPI layer,DL4 points outside mission data to A43920=0.
edu_rms_efficiency_pct,DM4,EDU+I+GB RMS Efficiency [%],C4,m/s^2,ignore legacy C4 formula,broken_reference,exact cell/formula target when status allows; Excel is numeric authority,IGNORE_REFERENCE_ARTIFACT,Phase 13B/13C KPI layer,DM4 evaluates to unit text; clearly invalid KPI formula.
